LAPTOP SALES INTELLIGENCE – INSAMLAD DATA
==========================================

Källa: https://webscraper.io/test-sites/e-commerce/allinone/computers/laptops
Insamlad: 2026-09-18T11:56:57.157Z
Antal produkter: 117

VIKTIG INFORMATION
------------------
Webbsidan är en testsajt för scraping.
Resultatet används som teknisk försäljnings- och dataövning.
Antalet recensioner används som efterfrågesignal och är inte bevisad försäljning.

PRISANALYS
----------
Genomsnittspris: $909.39
Medianpris: $1102.66
Budgetprodukter under $500: 38
Mellansegment $500–$1000: 14
Premiumprodukter över $1000: 65

STÖRSTA VARUMÄRKENA I SORTIMENTET
---------------------------------
1. Acer: 25 produkter
2. Lenovo: 20 produkter
3. Dell: 20 produkter
4. Asus: 19 produkter
5. MSI: 7 produkter
6. ThinkPad: 5 produkter
7. Toshiba: 5 produkter
8. Hewlett: 3 produkter
9. Apple: 3 produkter
10. Prestigio: 2 produkter

PRODUKTER MED FLEST RECENSIONER
-------------------------------
1. Asus VivoBook X441NA-GA190 – 14 recensioner – $295.99
2. Acer Aspire ES1-732 Black – 14 recensioner – $410.46
3. Dell Vostro 15 – 14 recensioner – $488.78
4. Lenovo ThinkPad L460 – 14 recensioner – $1096.02
5. Dell Latitude 5480 – 14 recensioner – $1133.82
6. Acer Nitro 5 AN515-51 – 14 recensioner – $1140.62
7. Acer Predator Helios 300 (PH317-51) – 14 recensioner – $1187.98
8. Asus ZenBook UX530UX-FY040T Blue – 14 recensioner – $1239.20
9. HP 250 G3 – 13 recensioner – $520.99
10. ThinkPad Yoga – 13 recensioner – $1033.99

ALL INSAMLAD DATA
-----------------
Produkt	Varumärke	Pris USD	Prissegment	Betyg	Recensioner	Beskrivning	Produktlänk
Asus VivoBook X441NA-GA190	Asus	295.99	Budget	3	14	Asus VivoBook X441NA-GA190 Chocolate Black, 14", Celeron N3450, 4GB, 128GB SSD, Endless OS, ENG kbd	https://webscraper.io/test-sites/e-commerce/allinone/product/60
Prestigio SmartBook 133S Dark Grey	Prestigio	299.00	Budget	2	8	Prestigio SmartBook 133S Dark Grey, 13.3" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam	https://webscraper.io/test-sites/e-commerce/allinone/product/61
Prestigio SmartBook 133S Gold	Prestigio	299.00	Budget	4	12	Prestigio SmartBook 133S Gold, 13.3" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam	https://webscraper.io/test-sites/e-commerce/allinone/product/62
Aspire E1-510	Aspire	306.99	Budget	3	2	15.6", Pentium N3520 2.16GHz, 4GB, 500GB, Linux	https://webscraper.io/test-sites/e-commerce/allinone/product/32
Lenovo V110-15IAP	Lenovo	321.94	Budget	3	5	Lenovo V110-15IAP, 15.6" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home	https://webscraper.io/test-sites/e-commerce/allinone/product/63
Lenovo V110-15IAP	Lenovo	356.49	Budget	2	6	Asus VivoBook 15 X540NA-GQ008T Chocolate Black, 15.6" HD, Pentium N4200, 4GB, 500GB, Windows 10 Home, En kbd	https://webscraper.io/test-sites/e-commerce/allinone/product/64
Hewlett Packard 250 G6 Dark Ash Silver	Hewlett	364.46	Budget	1	12	Hewlett Packard 250 G6 Dark Ash Silver, 15.6" HD, Celeron N3060 1.6GHz, 4GB, 128GB SSD, DOS	https://webscraper.io/test-sites/e-commerce/allinone/product/65
Acer Aspire 3 A315-31 Black	Acer	372.70	Budget	2	2	Acer Aspire 3 A315-31 Black, 15.6" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home	https://webscraper.io/test-sites/e-commerce/allinone/product/66
Acer Aspire A315-31-C33J	Acer	379.94	Budget	2	0	Acer Aspire A315-31-C33J Black 15.6", HD, Celeron N3350, 4GB DDR3L, 128GB, Windows 10 Home, ENG	https://webscraper.io/test-sites/e-commerce/allinone/product/67
Acer Aspire ES1-572 Black	Acer	379.95	Budget	4	9	Acer Aspire ES1-572 Black, 15.6" HD, Core i3-6006U, 4GB, 128GB SSD, Linux	https://webscraper.io/test-sites/e-commerce/allinone/product/68
Acer Aspire 3 A315-31 Black	Acer	391.48	Budget	4	10	Acer Aspire 3 A315-31 Black, 15.6" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home	https://webscraper.io/test-sites/e-commerce/allinone/product/69
Acer Aspire 3 A315-21	Acer	393.88	Budget	3	9	Acer Aspire 3 A315-21, 15.6", AMD A4-9120. 4GB. 128GB SSD, Linux	https://webscraper.io/test-sites/e-commerce/allinone/product/70
Asus VivoBook Max	Asus	399.00	Budget	1	4	Asus VivoBook Max X541NA-GQ041 Black Chocolate, 15.6" HD, Pentium N4200 1.1GHz, 4GB, 500GB, Windows 10 Home	https://webscraper.io/test-sites/e-commerce/allinone/product/45
Asus VivoBook E502NA-GO022T Dark Blue	Asus	399.99	Budget	4	3	Asus VivoBook E502NA-GO022T Dark Blue, 15.6" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd	https://webscraper.io/test-sites/e-commerce/allinone/product/71
Lenovo ThinkPad E31-80	Lenovo	404.23	Budget	1	12	Lenovo ThinkPad E31-80, 13.3" HD, Celeron 3855U 1.6GHz, 4GB, 128GB SSD, Windows 10 Home	https://webscraper.io/test-sites/e-commerce/allinone/product/72
